Cluster,Total_distance,Parent_cluster,Child_cluster,Age,GamesPlayed,NetScoreOfPlayer
29,2.7083205127901606,7,1,0.44999999999999574,2.099999999999998,1.6499999999999915
45,3.9051248379533425,9,0,0.04545454545455385,1.6363636363636394,3.545454545454561
21,4.451261916756923,6,0,0.4324324324324209,2.432432432432432,3.702702702702709
13,4.821156408710223,4,3,0.3829787234042392,2.4255319148936128,4.1489361702127745
9,5.2055386979730285,3,3,0.5384615384615117,2.269230769230772,4.653846153846162
18,5.38598078928063,5,3,0.875,1.40625,5.125
42,5.465167477356534,8,6,1.5833333333333357,4.5,2.6666666666666714
36,5.610314162326369,8,0,0.20000000000001705,2.724999999999996,4.899999999999984
46,5.617828762075261,9,1,2.0,4.0,3.4000000000000092
50,5.654423047491218,9,5,0.3500000000000085,2.8,4.899999999999986
23,6.19201995403043,6,2,0.5,2.366666666666665,5.699999999999992
2,6.760946667901855,1,1,0.4803921568627594,3.24509803921569,5.9117647058823675
33,6.792689084596763,7,5,1.25,5.25,4.125
15,6.801062008572213,5,0,0.2000000000000277,3.5999999999999956,5.766666666666657
47,6.817372111011691,9,2,1.6875,0.75,6.5625
35,6.885193947276277,7,7,1.714285714285701,1.38095238095238,6.52380952380952
41,6.885193947276277,8,5,1.714285714285701,1.38095238095238,6.52380952380952
32,8.185861190155535,7,4,0.4482758620689573,3.586206896551727,7.3448275862068915
11,8.27925856879585,4,1,0.11428571428572454,4.085714285714288,7.199999999999993
3,8.404699283801452,2,0,0.06756756756754356,4.905405405405414,6.824324324324351
31,8.630634230589445,7,3,0.5,4.166666666666666,7.54166666666667
5,9.678429838162351,2,2,1.2954545454545183,3.772727272727275,8.818181818181817
39,10.862989236273425,8,3,0.6666666666666714,4.19047619047619,10.0
43,12.019612072781936,8,7,1.4545454545454426,9.090909090909092,7.7272727272727275
14,12.548250072486475,4,4,1.6538461538461604,4.9230769230769225,11.423076923076923
6,12.743803243866493,3,0,0.3902439024390141,7.048780487804883,10.609756097560984
8,13.12790298313839,3,2,1.785714285714306,5.499999999999999,11.785714285714283
44,14.135259302734973,8,8,4.0,9.833333333333334,9.333333333333334
49,14.280191715538205,9,4,0.35294117647059053,7.823529411764708,11.941176470588234
25,14.583095236151573,6,4,1.6666666666666714,3.4666666666666663,14.066666666666666
20,15.182226450688972,5,5,2.6999999999999957,11.099999999999994,10.0
26,15.588958432172433,6,5,3.375,11.25,10.25
24,15.765389306959726,6,3,0.14999999999999147,6.950000000000003,14.15
0,17.553998118868698,0,0,0.3546099290779523,5.234042553191475,16.7517730496454
27,17.788367983121965,6,6,1.8461538461538503,10.615384615384613,14.153846153846157
52,21.029978601986258,9,7,1.3000000000000043,10.1,18.4
19,25.691705118799675,5,4,0.684210526315784,11.842105263157894,22.789473684210527
53,28.991429053771764,9,8,1.8461538461538503,12.692307692307692,26.0
28,31.217674639161434,7,0,0.8888888888888857,10.333333333333332,29.44444444444444
10,35.04076019842386,4,0,0.09523809523808424,13.619047619047617,32.28571428571428
37,36.942063415336136,8,1,0.3333333333333357,10.777777777777777,35.33333333333334
30,36.96082376077124,7,2,0.2631578947368354,14.368421052631575,34.05263157894736
16,45.725327287571766,5,1,1.3333333333333215,6.999999999999999,45.166666666666664
1,46.2941670340948,1,0,0.025641025641018445,10.43589743589744,45.10256410256409
38,49.72273122023769,8,2,0.09999999999999787,14.7,47.5
48,52.47459702878464,9,3,1.3333333333333321,15.333333333333336,50.16666666666667
4,64.51280261563011,2,1,0.0869565217391326,9.086956521739129,63.8695652173913
51,67.98674525864729,9,6,0.6666666666666679,6.555555555555557,67.66666666666669
7,68.32821525548579,3,1,0.6000000000000121,8.849999999999996,67.75
22,72.42356549843548,6,1,0.33333333333332504,8.777777777777777,71.8888888888889
17,75.19528996322218,5,2,0.857142857142847,7.071428571428575,74.85714285714286
34,77.71079038427519,7,6,0.8181818181818201,5.0,77.54545454545452
40,77.71079038427519,8,4,0.8181818181818201,5.0,77.54545454545452
12,78.53316709093895,4,2,0.4166666666666714,5.583333333333341,78.33333333333334
54,110.36605758414434,9,9,0.3333333333333357,2.6666666666666625,110.33333333333333
