Cluster,Total_distance,Age,GamesPlayed,NetScoreOfPlayer
6,17.459158691707405,0.6666666666666714,4.200000000000001,16.933333333333334
9,20.034442998246796,3.3125,3.875,19.375
5,20.606146686122568,1.625,1.3125,20.5
1,26.18405885785481,0.6666666666666607,6.9999999999999964,25.222222222222225
8,31.765731982673742,0.55555555555555,8.666666666666666,30.55555555555555
4,34.61594847593937,3.4166666666666643,11.416666666666671,32.5
2,43.661829690254926,1.2727272727272734,9.727272727272727,42.54545454545455
0,62.66057059617329,1.8181818181818201,13.81818181818182,61.090909090909086
3,103.74584662549881,4.470588235294123,15.588235294117647,102.47058823529412
7,147.40822118684352,2.8571428571428577,5.285714285714281,147.28571428571428
