Age,GamesPlayed,NetScoreOfPlayer
25,10,56
23,10,66
22,10,75
25,10,35
21,10,39
24,10,13
25,10,22
21,10,-29
20,10,32
29,7,-6
21,4,0
34,7,16
26,3,-4
31,3,-54
35,7,-38
26,7,20
21,7,-24
31,7,-40
21,6,-20
26,7,-50
20,7,-1
26,7,5
21,3,-23
22,4,-17
26,3,-21
28,2,-12
28,1,-6
26,1,2
29,5,3
30,5,-43
25,5,-21
25,5,-39
25,5,-36
21,5,-39
25,5,9
29,5,7
35,5,15
25,3,-2
25,3,1
29,6,-36
28,6,-22
34,6,-58
24,6,-15
24,6,29
32,6,-44
28,5,15
25,5,-21
25,5,-13
32,5,24
23,5,-79
23,5,16
25,5,-15
23,5,-47
25,5,-33
28,4,-33
24,2,-21
21,2,-4
29,1,-4
27,18,99
27,18,119
26,18,124
22,18,44
24,18,27
24,18,64
24,18,43
32,16,-10
30,14,1
25,19,10
25,19,41
24,19,-9
24,17,56
34,18,-40
39,19,-36
20,18,-28
29,19,16
30,15,-17
22,11,-12
33,17,-31
22,11,-36
22,2,-1
27,2,-13
24,11,15
30,11,42
23,11,-34
23,11,-9
38,11,75
29,11,-23
32,11,37
24,2,30
28,11,-40
25,8,-5
26,4,-7
21,1,-4
28,1,-2
22,17,51
22,17,28
21,17,79
21,17,-25
30,17,79
24,17,-8
27,17,-49
26,17,-33
24,17,20
33,14,26
27,3,-4
29,2,-4
22,17,51
22,17,28
21,17,79
21,17,-25
30,17,79
24,17,-8
27,17,-49
26,17,-33
24,17,20
33,14,26
27,3,-4
29,2,-4
21,6,0
21,6,-12
23,6,-31
20,6,31
20,6,4
26,6,-41
26,6,-24
23,6,0
29,6,33
32,2,-3
24,1,4
21,1,-4
37,1,-7
