,Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
7,7,11.067476804173914,0.10457516339873152,8.413595291061561,7.189542483660173
2,2,14.014406537092597,4.8759689922480725,10.801335059591853,7.480620155038679
1,1,23.42438065058855,0.17499999999998295,22.134974082064517,7.662499999999962
5,5,26.30517710198269,3.0797101449275344,25.869770071887054,3.637681159420346
0,0,28.9320244936048,5.5625,26.113043375947285,11.145833333333304
8,8,33.17044294142631,1.0365853658536484,32.635579983894985,5.84146341463417
4,4,33.992139662707636,3.666666666666652,32.792173913300296,8.166666666666684
6,6,37.08875798268775,2.568493150684949,36.943372060484904,2.0410958904109187
9,9,46.3098607607948,3.8166666666666638,10.24871988297842,45.0
3,3,52.376846723632084,3.827586206896558,26.52703633163011,45.0
